                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74289,                0.60113,                 1.1258,                 0.9268,                0.72994,                0.78815,                0.64311,                0.71397,                 0.5765,                 1.0691,             0.00090969,             0.00090969,             0.00090969
                     36,                0.74393,                0.59812,                 1.1262,                0.89997,                0.73175,                0.80351,                0.65014,                0.70479,                 0.5334,                 1.0644,             0.00089938,             0.00089938,             0.00089938
                     37,                0.74293,                0.58965,                 1.1258,                 0.7217,                0.76019,                0.77203,                0.63398,                0.69204,                0.50884,                 1.0598,             0.00088906,             0.00088906,             0.00088906
                     38,                0.73226,                0.57881,                 1.1222,                0.76915,                0.77076,                0.80456,                0.65671,                  0.696,                 0.5154,                  1.055,             0.00087875,             0.00087875,             0.00087875
                     39,                0.72987,                   0.57,                 1.1168,                0.78668,                0.77851,                 0.7894,                 0.6585,                0.71311,                0.55528,                 1.0679,             0.00086844,             0.00086844,             0.00086844
                     40,                0.71989,                0.56646,                 1.1139,                0.74531,                0.76636,                0.77677,                0.64764,                0.69252,                0.50783,                 1.0529,             0.00085813,             0.00085813,             0.00085813
                     41,                0.71762,                0.57392,                 1.1119,                0.91396,                0.72745,                 0.8075,                 0.6734,                0.69371,                0.50235,                 1.0638,             0.00084781,             0.00084781,             0.00084781
                     42,                0.70225,                0.56123,                 1.1037,                0.88532,                 0.7503,                 0.8227,                0.67831,                0.66845,                0.48404,                 1.0371,              0.0008375,              0.0008375,              0.0008375
                     43,                0.70845,                0.55655,                 1.1058,                 0.8439,                0.76286,                0.79837,                0.67217,                 0.6697,                 0.5063,                 1.0407,             0.00082719,             0.00082719,             0.00082719
                     44,                0.70041,                0.55164,                 1.1029,                0.87691,                0.74003,                0.80842,                0.67145,                0.66015,                0.49142,                 1.0343,             0.00081688,             0.00081688,             0.00081688
                     45,                0.69342,                0.54245,                 1.0954,                0.85697,                0.73752,                 0.8036,                0.67127,                0.67687,                0.49815,                 1.0382,             0.00080656,             0.00080656,             0.00080656
                     46,                0.69746,                 0.5442,                  1.096,                0.95061,                0.73087,                0.84224,                0.68601,                0.66876,                0.49936,                 1.0411,             0.00079625,             0.00079625,             0.00079625
                     47,                0.68552,                0.53664,                 1.0881,                0.86842,                0.76126,                0.82654,                0.68313,                0.65489,                0.47631,                 1.0273,             0.00078594,             0.00078594,             0.00078594
                     48,                0.68253,                0.53191,                 1.0907,                0.82626,                0.78763,                0.82246,                0.69052,                0.65321,                0.49227,                 1.0278,             0.00077563,             0.00077563,             0.00077563
                     49,                0.68457,                0.53753,                 1.0912,                0.80392,                0.78341,                0.82927,                0.70332,                0.64872,                 0.4795,                 1.0252,             0.00076531,             0.00076531,             0.00076531
                     50,                0.68101,                0.52879,                 1.0873,                0.83722,                 0.7412,                0.81707,                0.68385,                0.65275,                0.47159,                 1.0257,               0.000755,               0.000755,               0.000755
                     51,                0.67157,                0.52112,                 1.0815,                0.89553,                0.73258,                  0.811,                0.69209,                0.64249,                0.48758,                 1.0166,             0.00074469,             0.00074469,             0.00074469
                     52,                0.67116,                0.52251,                  1.083,                 0.7513,                0.81726,                 0.8325,                0.70304,                0.62708,                0.47165,                 1.0136,             0.00073437,             0.00073437,             0.00073437
                     53,                0.67171,                 0.5201,                 1.0854,                0.95938,                0.73534,                0.83571,                0.70832,                0.63726,                0.47711,                 1.0151,             0.00072406,             0.00072406,             0.00072406
                     54,                0.66121,                0.51404,                 1.0794,                0.95775,                0.73588,                0.82941,                0.69999,                  0.631,                0.48998,                 1.0141,             0.00071375,             0.00071375,             0.00071375
