                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.78169,                0.64568,                 1.1611,                0.76864,                0.70968,                0.74465,                0.60143,                0.76474,                0.58513,                 1.1072,              0.0010438,              0.0010438,              0.0010438
                     23,                0.77551,                0.63392,                  1.156,                0.72545,                0.77354,                0.76418,                0.60692,                0.76546,                0.57437,                 1.1165,              0.0010334,              0.0010334,              0.0010334
                     24,                0.76838,                0.62937,                 1.1477,                0.91148,                0.69713,                0.76464,                0.61858,                0.76771,                0.60838,                 1.1208,              0.0010231,              0.0010231,              0.0010231
                     25,                0.76642,                0.62104,                 1.1536,                0.89949,                0.68991,                0.75334,                0.59815,                0.80168,                0.60099,                 1.1369,              0.0010128,              0.0010128,              0.0010128
                     26,                0.75632,                0.61042,                 1.1439,                0.73984,                0.74632,                0.75661,                0.60606,                0.73854,                0.58034,                 1.0929,              0.0010025,              0.0010025,              0.0010025
                     27,                0.75804,                0.60978,                 1.1429,                0.72138,                0.74343,                0.74158,                0.59871,                0.75714,                0.61667,                 1.1099,             0.00099219,             0.00099219,             0.00099219
                     28,                0.74571,                0.59875,                 1.1386,                0.78215,                0.75579,                0.77317,                0.61838,                0.75014,                0.54632,                 1.1034,             0.00098187,             0.00098187,             0.00098187
                     29,                0.73977,                0.58612,                 1.1325,                0.76212,                0.75434,                0.78409,                0.64053,                0.71533,                0.53074,                 1.0743,             0.00097156,             0.00097156,             0.00097156
                     30,                0.73293,                0.58285,                   1.13,                0.80563,                0.76224,                0.79417,                0.65643,                0.70419,                0.52554,                 1.0672,             0.00096125,             0.00096125,             0.00096125
                     31,                0.72352,                0.57423,                 1.1275,                0.76126,                0.77115,                0.75779,                0.62446,                0.69874,                0.52696,                 1.0612,             0.00095094,             0.00095094,             0.00095094
                     32,                 0.7164,                 0.5621,                 1.1184,                0.74834,                 0.7241,                0.76803,                 0.6341,                0.71202,                0.53734,                 1.0747,             0.00094062,             0.00094062,             0.00094062
                     33,                0.72216,                 0.5662,                 1.1288,                0.86728,                0.67345,                0.73997,                0.61103,                0.70949,                0.53423,                 1.0777,             0.00093031,             0.00093031,             0.00093031
                     34,                0.71622,                0.56114,                 1.1259,                0.77234,                 0.7682,                0.79109,                0.64712,                0.71063,                  0.524,                  1.072,                0.00092,                0.00092,                0.00092
                     35,                0.70533,                0.55883,                 1.1125,                0.84334,                0.73505,                0.80378,                 0.6647,                0.69765,                0.52985,                 1.0638,             0.00090969,             0.00090969,             0.00090969
                     36,                0.70505,                0.55317,                 1.1145,                0.85592,                0.75579,                0.80907,                0.66417,                0.67807,                0.52431,                 1.0428,             0.00089938,             0.00089938,             0.00089938
                     37,                 0.6973,                0.54613,                 1.1102,                0.74088,                0.75441,                0.79511,                0.64796,                0.68124,                0.48949,                 1.0605,             0.00088906,             0.00088906,             0.00088906
                     38,                0.69017,                0.53484,                 1.1089,                 0.7933,                0.75937,                 0.8127,                0.66991,                0.66461,                0.46703,                 1.0376,             0.00087875,             0.00087875,             0.00087875
                     39,                0.69182,                0.52438,                  1.106,                0.75795,                0.79562,                0.80916,                0.66554,                  0.685,                0.54368,                 1.0613,             0.00086844,             0.00086844,             0.00086844
                     40,                0.68156,                0.51835,                 1.1003,                0.71815,                0.78944,                0.79717,                0.64842,                0.67802,                0.50271,                 1.0536,             0.00085813,             0.00085813,             0.00085813
                     41,                0.67828,                0.52537,                 1.0998,                0.79178,                0.79523,                0.81095,                0.67237,                0.66455,                0.47943,                 1.0426,             0.00084781,             0.00084781,             0.00084781
                     42,                0.66241,                0.51526,                 1.0895,                0.76149,                0.77505,                0.79459,                0.65626,                0.64527,                0.48411,                  1.032,              0.0008375,              0.0008375,              0.0008375
                     43,                 0.6651,                 0.5093,                 1.0918,                0.83148,                0.73002,                 0.8021,                0.66657,                 0.6429,                0.46158,                 1.0288,             0.00082719,             0.00082719,             0.00082719
                     44,                0.65984,                0.50734,                 1.0879,                0.78124,                0.82401,                 0.7962,                0.65686,                0.63198,                0.46786,                 1.0277,             0.00081688,             0.00081688,             0.00081688
                     45,                0.65509,                0.50113,                 1.0811,                0.78765,                0.85238,                0.83617,                0.68232,                0.65234,                 0.4633,                 1.0324,             0.00080656,             0.00080656,             0.00080656
                     46,                0.65686,                0.49901,                 1.0825,                0.74994,                0.83752,                0.83177,                0.68707,                0.64936,                0.46022,                 1.0424,             0.00079625,             0.00079625,             0.00079625
                     47,                0.64616,                0.48881,                 1.0741,                0.75657,                0.80799,                0.83689,                0.69518,                0.62789,                0.44567,                 1.0188,             0.00078594,             0.00078594,             0.00078594
                     48,                0.64372,                0.48785,                  1.079,                 0.9188,                0.75847,                0.84186,                0.70648,                0.63771,                0.45158,                 1.0289,             0.00077563,             0.00077563,             0.00077563
                     49,                0.64856,                0.49729,                 1.0802,                0.85342,                0.81559,                0.85836,                0.73184,                0.62821,                0.45083,                 1.0253,             0.00076531,             0.00076531,             0.00076531
                     50,                0.64708,                0.48877,                 1.0761,                0.76928,                0.82595,                0.81171,                 0.6942,                0.60638,                0.45237,                 1.0115,               0.000755,               0.000755,               0.000755
                     51,                0.62943,                0.48265,                 1.0676,                0.76417,                0.83821,                0.81643,                0.69078,                0.60543,                0.44321,                 1.0059,             0.00074469,             0.00074469,             0.00074469
                     52,                0.62788,                0.48023,                 1.0692,                0.89352,                0.76689,                0.83371,                0.71596,                0.62048,                0.46263,                 1.0168,             0.00073437,             0.00073437,             0.00073437
                     53,                 0.6309,                 0.4795,                 1.0716,                  0.903,                0.77021,                0.84369,                0.71399,                0.61636,                0.45246,                 1.0175,             0.00072406,             0.00072406,             0.00072406
                     54,                0.62538,                0.47586,                 1.0654,                0.89842,                0.75868,                0.86089,                0.73068,                0.60663,                0.45966,                  1.012,             0.00071375,             0.00071375,             0.00071375
                     55,                0.61648,                0.46762,                 1.0603,                0.94584,                0.79599,                0.86773,                0.71869,                0.63141,                0.45068,                 1.0204,             0.00070344,             0.00070344,             0.00070344
                     56,                 0.6201,                0.46981,                 1.0612,                 0.7903,                0.81225,                0.83044,                0.70963,                0.60197,                0.44359,                 1.0061,             0.00069313,             0.00069313,             0.00069313
                     57,                 0.6184,                 0.4685,                 1.0644,                 0.8961,                0.74563,                0.82931,                0.71029,                 0.5925,                0.43424,                 1.0036,             0.00068281,             0.00068281,             0.00068281
                     58,                0.61618,                 0.4634,                 1.0635,                0.83142,                0.84467,                0.86574,                0.72867,                0.59717,                0.43789,                 1.0008,              0.0006725,              0.0006725,              0.0006725
                     59,                0.60479,                 0.4594,                 1.0543,                0.86914,                 0.7972,                0.85292,                0.73976,                0.57842,                0.42775,                0.99077,             0.00066219,             0.00066219,             0.00066219
                     60,                0.60121,                0.45533,                 1.0544,                0.85265,                0.82153,                0.84712,                0.72383,                0.58508,                0.42851,                0.99461,             0.00065188,             0.00065188,             0.00065188
                     61,                0.59713,                0.44955,                 1.0506,                0.83994,                0.84095,                0.84046,                0.71183,                0.59778,                0.44079,                 1.0039,             0.00064156,             0.00064156,             0.00064156
                     62,                0.59611,                0.44548,                 1.0484,                0.92716,                0.79212,                0.86187,                0.73453,                0.58796,                0.41016,                0.99354,             0.00063125,             0.00063125,             0.00063125
                     63,                0.59407,                0.44289,                 1.0472,                0.85431,                0.81709,                0.86482,                0.72347,                0.58659,                0.42246,                0.99943,             0.00062094,             0.00062094,             0.00062094
                     64,                0.59494,                 0.4451,                 1.0492,                0.84561,                0.87887,                0.89001,                0.74071,                0.58033,                0.43148,                0.99307,             0.00061062,             0.00061062,             0.00061062
                     65,                 0.5911,                0.44308,                  1.048,                0.89158,                0.75594,                0.83514,                0.71551,                0.58786,                0.43224,                0.99583,             0.00060031,             0.00060031,             0.00060031
                     66,                0.58946,                0.44619,                 1.0432,                0.81135,                0.84797,                0.84922,                0.72996,                0.56253,                 0.4185,                   0.98,                0.00059,                0.00059,                0.00059
                     67,                0.58597,                0.43978,                 1.0415,                0.83117,                0.82131,                 0.8771,                0.73909,                0.57434,                0.41919,                0.98329,             0.00057969,             0.00057969,             0.00057969
                     68,                0.57711,                0.43699,                 1.0382,                0.86011,                0.82542,                0.87042,                0.74209,                 0.5617,                0.41356,                0.97737,             0.00056938,             0.00056938,             0.00056938
                     69,                0.57693,                0.43275,                 1.0351,                0.90071,                0.80249,                0.87169,                0.74353,                0.57145,                0.41825,                0.98119,             0.00055906,             0.00055906,             0.00055906
                     70,                0.57574,                0.43241,                 1.0397,                0.81239,                0.86352,                 0.8599,                0.73792,                0.57364,                0.41404,                 0.9853,             0.00054875,             0.00054875,             0.00054875
                     71,                 0.5732,                0.43128,                 1.0392,                 0.9708,                0.75017,                0.85676,                0.73751,                0.56687,                0.41521,                0.98078,             0.00053844,             0.00053844,             0.00053844
                     72,                0.56841,                0.42427,                 1.0315,                0.81556,                 0.8308,                0.85819,                0.72136,                0.56821,                  0.408,                0.97865,             0.00052812,             0.00052812,             0.00052812
                     73,                0.56879,                0.42219,                 1.0337,                0.87182,                0.87613,                0.89441,                0.75645,                0.55749,                0.40236,                0.97473,             0.00051781,             0.00051781,             0.00051781
                     74,                0.55945,                0.41724,                 1.0252,                0.84116,                0.87392,                0.89274,                0.75648,                0.55042,                0.39775,                0.97143,              0.0005075,              0.0005075,              0.0005075
                     75,                0.55735,                0.41711,                 1.0284,                0.87507,                0.85155,                0.89554,                0.75361,                0.56883,                0.40324,                0.98195,             0.00049719,             0.00049719,             0.00049719
                     76,                0.55263,                0.41436,                 1.0252,                0.83366,                0.89397,                0.89447,                0.75933,                0.54403,                0.39445,                0.96648,             0.00048687,             0.00048687,             0.00048687
                     77,                0.55734,                0.42113,                 1.0292,                0.87512,                0.84934,                0.89311,                0.74784,                0.55642,                0.40135,                0.97247,             0.00047656,             0.00047656,             0.00047656
                     78,                0.54763,                0.41229,                 1.0201,                0.91519,                0.80401,                0.88472,                0.74808,                0.55342,                0.40788,                 0.9695,             0.00046625,             0.00046625,             0.00046625
                     79,                0.54804,                   0.41,                 1.0249,                  0.896,                0.79648,                0.87991,                0.74096,                0.54196,                0.39948,                0.96491,             0.00045594,             0.00045594,             0.00045594
                     80,                 0.5464,                 0.4082,                   1.02,                0.91289,                0.80867,                 0.8887,                0.75409,                 0.5424,                0.40836,                0.96501,             0.00044563,             0.00044563,             0.00044563
                     81,                0.54728,                0.40941,                 1.0223,                0.85289,                0.84645,                0.88048,                  0.759,                0.54392,                0.40069,                0.96957,             0.00043531,             0.00043531,             0.00043531
                     82,                0.54206,                0.40692,                 1.0226,                0.89334,                0.82898,                0.88116,                0.75593,                0.53214,                0.39896,                0.96475,               0.000425,               0.000425,               0.000425
                     83,                 0.5372,                0.40488,                 1.0177,                0.90873,                0.81005,                0.88313,                0.74649,                0.54037,                0.40427,                0.97223,             0.00041469,             0.00041469,             0.00041469
                     84,                0.53481,                0.39859,                  1.016,                0.91812,                0.81431,                0.87429,                0.75428,                0.53411,                0.40063,                0.96742,             0.00040438,             0.00040438,             0.00040438
                     85,                0.53137,                0.39648,                 1.0148,                0.93774,                0.77585,                0.87241,                0.75239,                 0.5361,                0.39406,                0.96047,             0.00039406,             0.00039406,             0.00039406
                     86,                0.52667,                0.39246,                 1.0108,                0.85352,                0.82805,                0.88193,                   0.76,                0.52565,                0.39283,                0.95768,             0.00038375,             0.00038375,             0.00038375
                     87,                0.52233,                0.39062,                 1.0083,                0.92378,                  0.815,                0.88284,                0.75704,                0.53017,                 0.3946,                0.95868,             0.00037344,             0.00037344,             0.00037344
                     88,                0.52726,                0.39614,                 1.0152,                0.84629,                0.85606,                0.89247,                0.76799,                0.53355,                 0.3976,                0.96456,             0.00036313,             0.00036313,             0.00036313
                     89,                0.52186,                 0.3887,                 1.0061,                 0.9227,                0.81582,                0.90576,                0.76536,                0.54207,                0.39437,                0.96681,             0.00035281,             0.00035281,             0.00035281
                     90,                0.51564,                0.38579,                 1.0052,                 0.8656,                  0.854,                0.89151,                0.76556,                0.52784,                0.38644,                0.95959,              0.0003425,              0.0003425,              0.0003425
                     91,                0.51424,                0.38382,                 1.0016,                0.86863,                0.85675,                 0.8803,                0.76173,                0.53574,                0.39144,                0.96764,             0.00033219,             0.00033219,             0.00033219
                     92,                0.51045,                 0.3834,                 1.0021,                0.87575,                0.84498,                0.90165,                0.76384,                0.52599,                0.38571,                 0.9623,             0.00032188,             0.00032188,             0.00032188
                     93,                 0.5074,                0.37974,                0.99949,                0.85404,                0.85321,                 0.8832,                 0.7595,                 0.5231,                0.38951,                0.96039,             0.00031156,             0.00031156,             0.00031156
                     94,                0.51394,                0.38423,                 1.0049,                0.84324,                0.87383,                0.87643,                0.76404,                0.51888,                 0.3808,                0.95904,             0.00030125,             0.00030125,             0.00030125
                     95,                0.50697,                0.37692,                  1.001,                0.88759,                0.84005,                0.90651,                0.78022,                0.52146,                0.38287,                 0.9581,             0.00029094,             0.00029094,             0.00029094
                     96,                 0.5054,                0.37916,                 0.9971,                0.92442,                0.82586,                0.90046,                0.78133,                0.51178,                0.38001,                0.95024,             0.00028063,             0.00028063,             0.00028063
                     97,                0.50252,                0.37686,                0.99672,                0.92832,                0.82365,                0.89774,                0.77539,                0.51158,                0.38521,                0.95174,             0.00027031,             0.00027031,             0.00027031
                     98,                0.49771,                0.37143,                0.99319,                0.94925,                0.80446,                0.89672,                0.77263,                0.50605,                0.38342,                0.94907,                0.00026,                0.00026,                0.00026
                     99,                0.49798,                0.37119,                0.99438,                0.89485,                0.81494,                0.89245,                 0.7722,                0.51452,                0.39022,                0.95347,             0.00024969,             0.00024969,             0.00024969
                    100,                0.49576,                0.37551,                0.99726,                0.92635,                0.80837,                 0.8911,                0.77138,                0.51073,                0.38636,                 0.9532,             0.00023938,             0.00023938,             0.00023938
                    101,                0.49744,                0.37578,                0.99336,                0.87224,                0.84125,                0.89211,                0.77466,                0.51287,                0.38888,                0.95558,             0.00022906,             0.00022906,             0.00022906
                    102,                0.49339,                 0.3703,                0.99412,                0.87537,                 0.8385,                0.89407,                0.77674,                0.50645,                0.38435,                0.95065,             0.00021875,             0.00021875,             0.00021875
                    103,                0.48699,                0.36699,                0.98884,                0.90327,                0.85545,                0.91164,                0.78686,                0.50073,                0.38134,                0.94799,             0.00020844,             0.00020844,             0.00020844
                    104,                0.49017,                 0.3687,                0.99275,                0.86027,                0.87263,                0.91001,                0.78413,                0.50564,                0.38023,                0.95014,             0.00019813,             0.00019813,             0.00019813
                    105,                0.48372,                0.36155,                0.98757,                0.85146,                0.89342,                0.91428,                0.78676,                0.50901,                0.38123,                0.95249,             0.00018781,             0.00018781,             0.00018781
                    106,                0.47994,                0.36409,                0.98543,                0.86629,                0.88662,                0.91321,                0.78153,                0.50832,                0.37971,                0.95177,              0.0001775,              0.0001775,              0.0001775
                    107,                0.47936,                 0.3611,                0.98756,                0.94709,                0.83113,                0.91801,                0.79054,                0.50308,                0.37931,                0.94899,             0.00016719,             0.00016719,             0.00016719
                    108,                0.47848,                0.35825,                0.98474,                0.95974,                0.83078,                0.91583,                0.78952,                  0.503,                0.37535,                0.94773,             0.00015688,             0.00015688,             0.00015688
                    109,                0.47269,                0.35203,                0.98391,                 0.9592,                0.82517,                0.90855,                 0.7871,                0.50167,                 0.3776,                 0.9469,             0.00014656,             0.00014656,             0.00014656
                    110,                0.47105,                0.35616,                0.98527,                0.95988,                0.82349,                0.90449,                0.78717,                0.49843,                0.37685,                0.94606,             0.00013625,             0.00013625,             0.00013625
                    111,                0.46567,                0.31857,                0.97895,                 0.9559,                0.82485,                0.90975,                0.78933,                0.49563,                0.37796,                0.94475,             0.00012594,             0.00012594,             0.00012594
                    112,                0.44437,                0.30977,                0.95813,                0.96655,                0.82115,                0.90906,                0.78585,                0.50726,                0.38019,                0.95178,             0.00011563,             0.00011563,             0.00011563
                    113,                0.43791,                0.30318,                0.95504,                0.96297,                0.82273,                0.91049,                0.78182,                 0.5048,                0.37898,                0.95035,             0.00010531,             0.00010531,             0.00010531
                    114,                0.43521,                0.30288,                0.95454,                0.96371,                0.82204,                0.91268,                0.78274,                0.50179,                0.37586,                 0.9486,                9.5e-05,                9.5e-05,                9.5e-05
                    115,                0.42763,                0.29846,                0.95332,                0.88695,                 0.8819,                0.91338,                0.78766,                0.49961,                0.37615,                0.94699,             8.4688e-05,             8.4688e-05,             8.4688e-05
                    116,                0.42326,                0.29571,                0.94908,                0.96504,                0.82506,                0.91225,                0.77768,                0.49995,                0.37638,                0.94771,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    117,                0.42349,                0.29657,                0.94963,                0.96413,                0.82461,                0.91467,                0.78271,                0.49929,                0.37554,                0.94665,             6.4062e-05,             6.4062e-05,             6.4062e-05
                    118,                  0.417,                0.29455,                0.94669,                0.96353,                0.82711,                0.91455,                0.78391,                 0.4978,                0.37353,                 0.9464,              5.375e-05,              5.375e-05,              5.375e-05
                    119,                 0.4118,                0.28946,                0.94001,                0.95898,                0.82723,                0.91756,                0.78475,                0.49724,                0.37378,                0.94764,             4.3438e-05,             4.3438e-05,             4.3438e-05
                    120,                0.41145,                0.29235,                0.93938,                0.96173,                0.82711,                0.91496,                0.78366,                0.49693,                0.37258,                0.94788,             3.3125e-05,             3.3125e-05,             3.3125e-05
