                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1605,                 1.7665,                 1.4235,                0.78697,                0.56367,                0.59684,                0.35776,                 1.3856,                 1.4343,                 1.7369,             0.00041536,             0.00041536,             0.00041536
                      2,                 1.1201,                 1.2139,                 1.3873,                0.88436,                 0.6329,                0.62415,                0.45493,                 1.0657,                 1.0649,                 1.3886,             0.00082516,             0.00082516,             0.00082516
                      3,                 1.1018,                 1.0756,                 1.3717,                0.85057,                0.62243,                0.60612,                0.42315,                 1.1143,                 1.0029,                 1.4064,              0.0012281,              0.0012281,              0.0012281
                      4,                 1.0756,                 1.0355,                 1.3572,                0.78352,                0.57324,                0.56057,                0.36665,                 1.1722,                 1.0471,                 1.4825,              0.0012191,              0.0012191,              0.0012191
                      5,                 1.0371,                0.97348,                  1.335,                0.64859,                0.66403,                0.65451,                0.46135,                 0.9671,                0.85589,                 1.2872,              0.0012191,              0.0012191,              0.0012191
                      6,                 1.0006,                 0.9145,                 1.3017,                0.72416,                0.67935,                 0.6841,                0.50317,                0.96396,                  0.814,                 1.2903,              0.0012087,              0.0012087,              0.0012087
                      7,                0.97461,                0.88895,                 1.2912,                0.67831,                0.64836,                0.66002,                0.48956,                 0.9555,                0.85398,                 1.2938,              0.0011984,              0.0011984,              0.0011984
                      8,                0.96382,                0.86469,                 1.2778,                0.89886,                0.64728,                0.68196,                0.52052,                0.91619,                0.76269,                 1.2496,              0.0011881,              0.0011881,              0.0011881
                      9,                0.93309,                0.83414,                 1.2551,                0.68989,                0.67156,                0.67971,                0.51138,                0.90007,                0.77236,                 1.2244,              0.0011778,              0.0011778,              0.0011778
                     10,                0.91954,                0.80855,                 1.2503,                0.62475,                0.67049,                0.66856,                0.51812,                0.87255,                0.79044,                 1.2069,              0.0011675,              0.0011675,              0.0011675
                     11,                0.89718,                0.78699,                 1.2383,                0.64818,                0.67181,                  0.679,                0.51236,                0.88853,                0.72103,                 1.2149,              0.0011572,              0.0011572,              0.0011572
                     12,                0.88973,                0.77541,                  1.227,                0.75173,                0.63551,                0.68255,                0.51454,                0.88168,                0.74801,                 1.2204,              0.0011469,              0.0011469,              0.0011469
                     13,                0.87293,                0.76637,                 1.2192,                0.76865,                0.69432,                0.72606,                0.55423,                0.83466,                 0.6643,                 1.1854,              0.0011366,              0.0011366,              0.0011366
                     14,                0.85672,                0.73738,                 1.2062,                0.70939,                0.67136,                0.70974,                0.56329,                0.82172,                0.67493,                 1.1725,              0.0011263,              0.0011263,              0.0011263
                     15,                0.84842,                0.73023,                 1.2022,                0.70434,                0.72733,                0.72715,                0.55774,                0.85354,                 0.7069,                 1.1831,              0.0011159,              0.0011159,              0.0011159
                     16,                0.84051,                0.71092,                 1.1959,                0.70347,                0.67616,                0.69784,                0.55199,                0.85111,                0.70171,                 1.1733,              0.0011056,              0.0011056,              0.0011056
                     17,                0.82128,                0.69433,                 1.1813,                0.72258,                0.69119,                0.71545,                0.57043,                0.82614,                0.66326,                 1.1671,              0.0010953,              0.0010953,              0.0010953
                     18,                0.81694,                0.68561,                 1.1832,                0.87061,                0.68686,                0.73559,                0.57666,                0.81412,                0.66939,                 1.1531,               0.001085,               0.001085,               0.001085
                     19,                0.80179,                  0.669,                 1.1724,                0.69328,                0.75108,                0.71715,                0.57172,                0.78899,                0.60564,                 1.1322,              0.0010747,              0.0010747,              0.0010747
                     20,                0.80231,                0.66288,                 1.1749,                0.73522,                0.70016,                0.73774,                0.58015,                0.79136,                0.63235,                 1.1416,              0.0010644,              0.0010644,              0.0010644
                     21,                0.78959,                0.65166,                 1.1653,                0.73205,                0.71998,                0.73427,                0.58626,                0.79792,                0.62322,                 1.1298,              0.0010541,              0.0010541,              0.0010541
