                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0087,                 1.3531,                 1.3471,                0.82572,                0.77685,                0.82515,                0.51962,                 1.2137,                 1.0549,                 1.5781,             0.00041601,             0.00041601,             0.00041601
                      2,                0.94957,                0.83617,                 1.2947,                0.90567,                 0.8865,                0.94612,                0.70297,                0.84107,                0.80465,                 1.2405,             0.00082581,             0.00082581,             0.00082581
